value,count
1 b&w original negative(s) 65mm negative film strip,268
1 digital image(s) scanned from paper,265
1 colour photo-mechanical print(s) on poster.,264
image/tiff,264
1 cartoon bromide(s),263
Wet collodion glass negative 4.25 x 3.25 inches,261
1 manuscript map(s),260
Brass,260
"Dry plate glass negative, 4.75 x 6.5 inches",260
Contact print,259
No negatives located,258
"Cellulosic film negative, 6.5 x 6.5",255
oil on board,254
Duration: 0:00:30,253
1:25000,252
12 x 8,249
Albumen print,248
Wood engravings,247
Photocopies,246
Greyscale negative,245
video/mpeg,245
4 digital cartoon(s),243
Newspaper notices,243
Engraving,242
1:253440,241
Booklet,240
Clippings,240
Linen/Weave/Textile/Man-made Materials,240
1 online resource : colour charts.,238
Paper/General,238
Scores,238
black and white postcard,238
1 online resource Irregular,237
"4x5"" black and white negative",237
1 b&w original negative(s) individual image on negative strip,236
3 Electronic document(s),236
Dry plate glass negative 8.5 x 6.5 inches,233
"Cellulosic film negative, 1/2",231
Brand: Maxell,221
Display Print,221
albumen print,221
1 photograph : colour ; 9 x 13 cm,220
Print (Cabinet Card),217
application/zip,212
4 Electronic document(s),209
2 digital sound recording(s),208
Diaries,208
screenprint,208
"2 photographs : black and white, negative, acetate ; 8 x 10.5 cm",207
Theatre programmes,207
Bound volume. 27 x 21 cm.,206
1 photograph : black and white : 16.5 x 21.5 cm,204
1 b&w original negative(s) individual image on a 35mm strip,203
1 online resource: colour,203
Scanned from bound newspaper,203
Watercolour,203
19 x 23 cm. Bound letter book.,202
"Bound ledger, 32 cm",202
Paper/Photographic/Man-made Materials,202
Web site. Updated irregularly,202
Half plate,200
Microfilm,200
Sales catalogues,199
1 postcard,198
Diazotypes,198
Microform,198
woodcut,198
1:20000,196
Brand: EMITAPE,196
Newsletters,194
Updated irregularly Began in the 2000s?,194
Glass negative 1/2 plate 4.75 x 6.5 inches,193
Wood/General,193
¼ plate Glass negative,193
1 colour digital image,188
1 colour photo-mechanical print(s) on poster,188
Plant Fibre,188
Speed: 3 ¾ ips,187
1 colour original negative(s) 120 strips containing 2 images,186
Digital print,185
Polyester/Plastic Monochrome/Media/Photography,185
1 photograph : black and white ; 20.5 x 25.5 cm,184
40 x 33 cm,184
35 mm/roll film/Format/Photography,181
Cellulosic film negative 6.5 x 6.5 cm,181
woodcut - nishiki-e (full colour) technique,181
Web site. Updated irregularly Began in the 1990s?,180
black and white photograph print,180
1 watercolour(s) in sketchbook.,179
"Glass negative, 1/2 plate",179
digital scan original photograph: h 132 mm x w 90 mm,179
9 x 13,178
A4 size photocopy.,178
Bronze,178
Programmes,177
1 photograph : black and white : 16 x 21 cm,176
26 x 19 cm,176
Cellulose Acetate/Plastic Monochrome/Media/Photography,176
"35mm Slide/Film/Photographic, Audio and Visual, 0 - Whole",174
acrylic on canvas,174
Flyer,172
23 x 18 cm,171
Photographic slides,171
"Negative, 135 mm., Black and White Negative. Print: None. Image Condition: Good.",170
"gelatin silver print, toned with gold",170
watercolour/Art,170
"Negative, 135 mm., Black and White Negative. Print: None. Negative Condition: Good. Image Condition: Good.",168
1 leaf (2 pages),167
Transcriptions (Documents),167
China,166
Clear,166
other,165
Ceramic,164
"Dry plate glass negative, ½ plate",164
Cadastral maps,162
"Lantern Slide, Standard (3¼ in. x 3¼ in.), Monochrome",162
Oil/Paint/Man-made Materials,162
Paper Products/Man-made Materials,162
Positive transparency,162
Book illustrations,161
1 colour original negative(s),160
1 drawing(s) in sketchbook.,160
1 online resource (2 image files) : colour,160
22 x 30 cm.,160
Web site. Updated irregularly Began in the 2000s?,160
Watercolour & Pencil,159
Tracing Paper/Paper/Paper Products/Man-made Materials,158
application/vnd.openxmlformats-officedocument.presentationml.presentation,158
1 online resource : illustrations.,157
1:10000,157
1 b&w original negative(s) individual image on 35mm strip,155
14 x 9,154
pencil on paper,154
1 b&w original negative(s) with 2 images,153
"Dye coupler negative, 35mm",153
Neg B&W : 6 x 6cm,153
1 b&w original negative(s) Single image on negative strip,152
1 electronic document : epub file.,152
1 negative : black and white ; 6.2 x 9 cm,152
4 pages,152
silver gelatin print,151
1 photograph : black and white : 17 x 21.5 cm,150
Gelatin quarter plate,149
image/bmp,149
Packaging,148
1 b&w digital photograph,147
1 b&w original negative(s) individual image on strip,147
Fliers (Printed matter),147
"1 photograph : black and white, negative, acetate ; 16 x 21 cm",146
Photographic print on paper,146
watercolour on paper,146
Negatives held by Anne Leahy,145
Tape width: 1/4 inch,143
5 Electronic document(s),142
Curios,142
Panoramic views,142
Print (Mounted),142
1 videocassette(s),141
16 x 11,141
1 photograph(s),140
Linen,140
Political posters,140
1 Interview(s),139
"1 sound file : digital, MP3 file.",139
"Glass, paper; H 82mm x W 82mm x D 3mm",139
photograph,139
wood engraving,139
1 C30 cassette(s),137
"Cellulosic film negative, 1/2 plate negative",137
18 x 13,136
Digital copy of photographic print or slide,135
Gelatin whole plate,135
Panoramic photographs,135
Rock,135
1:500000,134
35mm colour slide,134
Thread,134
1 transparency : colour : 35mm,133
Negatives at Auckland Museum?,131
Videocassettes,130
1 image,129
6 pages,129
38 x 22 cm,128
"Glass negative, ¼ plate",128
Grey-scale negative,128
porcelain,128
1 online resource : colour illustrations Irregular,127
5 colour original negative(s) 35mm strips containing 26 images,127
Cellulose nitrate negative,127
"Cellulosic film negative, 1/4 plate.",127
Cityscapes (Representations),127
Personal correspondence,127
Protest posters,127
Resin-coated paper prints,127
1 curio(s),126
"1 online resource : colour illustrations, colour charts.",126
"35mm Slide/Film/Photographic, Audio and Visual",126
HxW (2D objects YxX): H 76 W 127mm (H 3 W 5in),126
12 x 9,125
Black and white slide,125
Mss,125
VHS,125
Stereographic dry plate glass,124
Pamphlet,123
Memorandums,122
"organic, processed materials, paper",122
1 digital images,120
Dye coupler prints,120
Forms (Documents),120
jpeg,120
Andesite,119
Pamphlets,119
2 digital photograph(s),118
text,118
Digital prints,117
Glass plate positive,117
Magazine,117
Cellulose triacetate copy negative 12.5 x 10 cm,116
Photomechanical print,116
Printing Ink,116
Sketch,116
transparency : glass lantern slide ; 8.2 x 8.2 cm.,116
Brand: AMPEX 456,115
5 pages,114
: 1/4 inch,114
Updated irregularly Began in 2010?,114
0.01 Linear Metres,113
4 b&w original negative(s) 120 strips containing 11 images,113
8 pages,113
Large negative (4x5) format,113
1 colour art print(s) on poster.,112
6 Electronic document(s),112
Cellulosic film negative 3.5 x 4.5 inches,112
Mounted colour slide.,112
Printing/Ink/Man-made Materials,112
paper/Art,112
woodblock print on paper,112
5 digital cartoon(s),111
Glass plate negative; H 121mm x L 165mm,111
Glaze,111
Labels,111
Colour transparency,110
"Photograph, Black & White",110
colour print,110
1 colour original transparency/ies 120 colour transparency strips,108
1 leaf (1 page),107
planographic,107
1 photograph (mounted) : black and white ; 10 x 15 cm,106
15 x 11,106
1:126720,106
35mm colour negative,106
Cabinet photograph,106
"Transparency, 135 mm., Colour Transparency. Print: None.",106
1,105
Duration: 00:20:00,105
Parts (Music),105
relief,105
10 digital photograph(s),104
12 pages,104
5 colour original negative(s) 35mm strips containing 27 images,104
Cellulose triacetate copy negative 10 x 12.5 cm,104
Christmas cards,104
Pamphlet DLE,104
Phonograph records,104
Annual,103
Felt,103
drypoint,102
engraving on paper,102
pastel on paper,102
Etchings,101
Silver gelatin photoprints,101
1 Compact disc(s),100
1 negative : black and white ; 3.5 x 3.7 cm,100
7 pages,100
Blue/Ink/Man-made Materials,100
Brand: Other,100
