value,count
Ceased with Sept./Oct. 2008.,1
Ceased with no. 19 (July 2011),1
Cedar plywood,1
Celleloid,1
Celllulosic film negative,1
Celluloid film negative,1
"Celluloid, cotton",1
Cellulose (nitrate or acetate) negative,1
"Cellulose (nitrate or acetate) negative, black and white, photographic print, paper",1
Cellulose nitrate (overall material),1
Cellulose nitrate copy negative 6.5 x 8.5 inches,1
Cellulose nitrate negative 11.5 x 7 cm,1
Cellulose nitrate negative 19.7 x 108.9 cm,1
Cellulose nitrate negative 24.8 x 133.5 cm,1
Cellulose nitrate negative 69 x 110 mm,1
Cellulose nitrate negative 69 x 115 mm,1
Cellulose nitrate negative 8 x 10.5 cm,1
Cellulose nitrate negative 8.5 x 11.5 cm,1
"Cellulose nitrate negative, black and white",1
Cellulose triacetate copy negative 4 x 5 inches,1
Cellulose triacetate copy negative 8.9 x 6.3 cm,1
Cellulose triacetate copy negatives 10 x 12.5 cm,1
"Cellulose triacetate film negatives, 35mm",1
Cellulose triacetate negative  6 x 7 cm,1
Cellulose triacetate negative 100mm x125mm,1
Cellulose triacetate negative 100mm x125mm.,1
Cellulose triacetate negative 12 x 13 cm,1
"Cellulose triacetate negative 12.2 x 21.3 cm, with bromide attachment",1
Cellulose triacetate negative 128 x 20 cm,1
"Cellulose triacetate negative 13.1 x 21.3 cm, with bromide attachment",1
"Cellulose triacetate negative 13.4 x 21.3 cm, with bromide attachment",1
"Cellulose triacetate negative 13.6 x 21.3 cm, with bromide attachment",1
Cellulose triacetate negative 4.25 x 3.25 inches,1
Cellulose triacetate negative 5.5 x 8.1 cm,1
Cellulose triacetate negative 5.8 x 5.8 cm,1
Cellulose triacetate negative 6.2 x 4.3 cm,1
Cellulose triacetate negative 6.3 x 6.2 cm,1
Cellulose triacetate negative 6.6 x 6.2 cm,1
Cellulose triacetate negative 60 x 90 mm,1
Cellulose triacetate negative 8.3 x 5.2 cm,1
Cellulose triacetate negative 8.5 x 6.5 inches,1
Cellulose triacetate negative 8.7 x 6.7 cm,1
Cellulose triacetate negative 9 x 6 cm,1
"Cellulose triacetate negative, 5.7 x 5.6 cm",1
"Cellulose triacetate negative, 6 x 6cm",1
"Cellulose triacetate negative, 6 x 9 cm",1
Cellulose triacetate nwegative,1
Cellulose tyriacetate copy negative 11.9 x 16.4 cm,1
Cellulosic acetate negative 10 x 12.5 cm,1
Cellulosic acetate negative 35mm,1
Cellulosic film 120 negative strip,1
"Cellulosic film megative, 6.5 x 6.5 cm",1
Cellulosic film neagtive,1
Cellulosic film negative  plate glass negative or Stereographic film negative,1
Cellulosic film negative 1/2 platec,1
Cellulosic film negative 10 x 12.7 cm,1
Cellulosic film negative 10.6 x 13.2 cm,1
Cellulosic film negative 10.7 x 13.2 cm,1
Cellulosic film negative 10.8 x 13.2 cm,1
Cellulosic film negative 11.2 x 13.2 cm,1
Cellulosic film negative 11.5 x 13 cm,1
Cellulosic film negative 11.5 x 13.3 cm,1
Cellulosic film negative 11.8 x 16.3 cm,1
Cellulosic film negative 12.6 x 13.9 cm,1
Cellulosic film negative 12.6 x 14 cm,1
Cellulosic film negative 12.9 x 13.9 cm,1
Cellulosic film negative 13 x 13.9 cm,1
Cellulosic film negative 13.2 x 11.4 cm,1
Cellulosic film negative 13.2 x 13.8 cm,1
Cellulosic film negative 13.3 x 13.9 cm,1
Cellulosic film negative 13.6 x 13.9 cm,1
Cellulosic film negative 13.9 x 12.9 cm,1
Cellulosic film negative 14 x 14 cm,1
Cellulosic film negative 14.1 x 13.9 cm,1
Cellulosic film negative 3.25 x 4.25,1
Cellulosic film negative 3.25 x 4.25 inches4.25 inches,1
Cellulosic film negative 4 x 6 cm,1
Cellulosic film negative 4.75 x 6.5 inches (half of negative),1
Cellulosic film negative 5 x 7 cm,1
Cellulosic film negative 5.5 x 5.6 cm,1
Cellulosic film negative 6.5 cm x 6.5 cm,1
"Cellulosic film negative 6.5 x 6.5 inchesCellulosic film negative, 6.5 x 6.5 cm OR Cellulosic film negative 3.25 x 4.25 inches",1
Cellulosic film negative 6.5 x 6.5cm,1
Cellulosic film negative 8 x 11 cm (irregular),1
Cellulosic film negative 8.2 x 10.6 cm,1
Cellulosic film negative 9.5 x 12 cm,1
"Cellulosic film negative ¼ plate, 3.25 x 4.25 inches",1
"Cellulosic film negative,  ¼ plate",1
"Cellulosic film negative, 1/2 plate 4.47 x 6.5 inches",1
"Cellulosic film negative, 1/2 plate 4.75x 6.5 inches",1
"Cellulosic film negative, 1/2 plate Cellulosic film negative, ¼ plate OR Glass negative, 3.25 x 4.25 inches",1
"Cellulosic film negative, 1/2 plate OR 4.75 x 6.5 inches",1
"Cellulosic film negative, 1/2 plate OR Glass negative, 4.75 x 6.5 inches OR",1
"Cellulosic film negative, 1/2 plate'",1
"Cellulosic film negative, 1/2 plate]",1
"Cellulosic film negative, 1/2/plate",1
"Cellulosic film negative, 1/2l plate",1
"Cellulosic film negative, 10 x 12.5 cm",1
"Cellulosic film negative, 10.5 x 13.2 cm",1
"Cellulosic film negative, 10.6 x 13.6 cm",1
"Cellulosic film negative, 10.7 x 13 cm",1
"Cellulosic film negative, 10.8 x 13.3 cm",1
"Cellulosic film negative, 11 x 13.2 cm",1
"Cellulosic film negative, 11.1 x 14 cm",1
"Cellulosic film negative, 11.3 x 13.2 cm",1
"Cellulosic film negative, 11.3 x 13.3 cm",1
"Cellulosic film negative, 11.3 x 14 cm",1
"Cellulosic film negative, 11.4 x 14 cm",1
"Cellulosic film negative, 11.5 x 13.2 cm",1
"Cellulosic film negative, 11.6 x 14 cm",1
"Cellulosic film negative, 11.9 x 13.9 cm",1
"Cellulosic film negative, 11.9 x 14 cm",1
"Cellulosic film negative, 11.9 x 14.1 cm",1
"Cellulosic film negative, 12 x 13.9 cm",1
"Cellulosic film negative, 12 x 14 cm",1
"Cellulosic film negative, 12.1 x 13.8 cm",1
"Cellulosic film negative, 12.3 x 13.9 cm",1
"Cellulosic film negative, 12.4 x 13.8 cm",1
"Cellulosic film negative, 12.4 x 13.9 cm",1
"Cellulosic film negative, 12.6 x 12.8 cm",1
"Cellulosic film negative, 12.6 x 14 cm",1
"Cellulosic film negative, 12.7 x 14 cm",1
"Cellulosic film negative, 13 x 14 cm",1
"Cellulosic film negative, 13.1 x 13.9 cm",1
"Cellulosic film negative, 13.2 x 10.7 cm",1
"Cellulosic film negative, 13.2 x 10.8 cm",1
"Cellulosic film negative, 13.3 x 13.9 cm",1
"Cellulosic film negative, 13.4 x 14 cm",1
"Cellulosic film negative, 13.5 x 14 cm",1
"Cellulosic film negative, 13.6 x 13.2 cm",1
"Cellulosic film negative, 13.7 x 13.9 cm",1
"Cellulosic film negative, 13.9 x 13.1 cm",1
"Cellulosic film negative, 3.25 x 4.2.5 inches",1
"Cellulosic film negative, 3.25 x 4.24 inches",1
"Cellulosic film negative, 3.25 x 4.25 inchesc",1
"Cellulosic film negative, 35 mm strip",1
"Cellulosic film negative, 4 x 5 in",1
"Cellulosic film negative, 4.5 x 6.25 inches",1
"Cellulosic film negative, 5 x 6.2 cm",1
"Cellulosic film negative, 5.5 x 5.5 cm",1
"Cellulosic film negative, 6 x 6 cms",1
"Cellulosic film negative, 6.2 x 4.7 cm",1
"Cellulosic film negative, 6.2 x 4.9 cm",1
"Cellulosic film negative, 6.2 x 6.4 cm",1
"Cellulosic film negative, 6.5",1
"Cellulosic film negative, 6.5  x 6.5 cm",1
"Cellulosic film negative, 6.5 x 6.5 cm  4.25 inches",1
"Cellulosic film negative, 6.5 x 6.5 cm [fragment]",1
"Cellulosic film negative, 6.5 x 8.5 inches.",1
"Cellulosic film negative, 6.5cm x 6.5cm",1
"Cellulosic film negative, 8 x 10.5 cm",1
"Cellulosic film negative, 8.1 x 10.6 cm",1
"Cellulosic film negative, 9.6 x 12.2 cm",1
"Cellulosic film negative, 9.6 x 14 cm",1
"Cellulosic film negative, 9.8 x 13.1 cm",1
"Cellulosic film negative, 9.9 x 12.5 cm",1
"Cellulosic film negative, half plate",1
"Cellulosic film negative, ¼ plate O",1
"Cellulosic film negative, ¼ plate, 3.25 x 4.25 inches",1
"Cellulosic film negative, ¼/ plate",1
"Cellulosic film negative,1/2 plate",1
Cellulosic film negative. ¼ plate,1
Cellulosic film negatives,1
"Cellulosic fim negative, ¼ plate",1
Cellulosic negative 5.6 x 5.6 cm,1
Cellulosic negative 6.5 x 8.5 inches,1
"Cellulosic negative, 5.5 x 5.5 cm",1
"Cellulosic negative, 5.6 x 5.6 cm",1
"Cellulosic ¼ film negative,",1
"Cellulosic ¼ film negative, 3.25 x 4.25 inches",1
Cellulosic/Animal based/General,1
"Celluosic film negative, 1/2 plate",1
"Celulose triacetate film negative, 35mm",1
Celulosic negative,1
Centre diameter: 10cm; Crochet edge: 6cm,1
Centre diameter: 11cm; Fingers: 7.5cm,1
Centre diameter: 19cm,1
Centre diameter: 20cm; Cotton edging: 2cm,1
Centre diameter: 26cm,1
Centre front 36 cm Centre back 35.5 cm,1
Centre square length: 8cm; Centre square width: 9cm; Lace: 5cm,1
"Ceramic Stoneware. Hand modelled by a beating process in a supporting plaster of paris mould textured rim developers from the beating process outer surface and rim pigmented with burnt umber. Inside of bowl, an under glaze covered with a blue green semi-mat over glaze. PROCESS: Stoneware firing to 1300 degrees celcius. Fired in an LPG Kiln.",1
Ceramic and plaster; H 166mm x W 134mm x D 134mm,1
"Ceramic, 0 - Whole",1
"Ceramic, metal and cork.",1
Ceramic; Display measurements: H 195mm x W 290mm x D 23mm (measured as if hanging on a wall),1
Ceramic; Display measurements: H 255mm x W 255mm x D 45mm (measured as if hanging on a wall),1
Ceramic; Display measurements: H 270mm x W 410mm x D 30mm (measured as if hanging on a wall),1
"Certificate 230mm x 165mm,on page 260mm x 200mm page",1
Certificate 252mm x 208mm,1
Certificate 335mm x 195mm,1
Certificate 335mm x 227mm,1
Certificate and photographic print in matt board. Framed (wood veneer).; H 437mm x W 359mm,1
Certificate and photographic print in matt board; H 430mm x W 353mm,1
Certificate printed in black ink on red paper 102 x 140 mm (sight). Mounted together in frame with medal and white paper translation of the certificate.,1
"Certificates and printed letter, sizes vary.",1
Chalk  90 x 65 mm,1
"Chalk drawing (part col), 588 x 460 mm",1
"Chalk drawing on grey paper, 383 x 280 mm.",1
"Chalk drawing, 450 x 342 mm.",1
Chalk on Sugar Paper,1
Chalk on tinted paper  231 x 180 mm. (sight).,1
Chalk/Stone/Mineral/Natural Materials,1
Chamber music festival,1
Chamber music: six voices and string quartet,1
"Chambray Cotton, wool",1
"Chan elle Lace,Tulle, Satin ,polyester satin",1
Chantilly Lace,1
Charcoal & Pencil,1
"Charcoal 150 x 180 mm, on blue sheet 315 x 255 mm.",1
"Charcoal and wash sketch on brown paper, 215 x 279 mm",1
"Charcoal and wash, 420 x 297 mm.",1
"Charcoal and wash, 420 x 595 mm.",1
"Charcoal and wash, 590 x 420 mm.",1
Charcoal and watercolour 273 x 370 mm,1
"Charcoal and watercolour, in sketchbook  320 x 410 mm.",1
"Charcoal and watercolour, on card, 751 x 547 mm.",1
"Charcoal and watercolour, on sheet 700 x 550 mm (sight)",1
Charcoal and white chalk on paper  403 x 302 mm,1
"Charcoal and white pastel on grey paper, 620 x 450 mm.",1
Charcoal drawing  580 x 382 mm,1
"Charcoal drawing on blotting paper, 285 x 445 mm.",1
"Charcoal drawing on blotting paper, 445 x 285 mm.",1
Charcoal drawing on paper,1
"Charcoal drawing, 225 x 278 mm.",1
"Charcoal drawing, 298 x 500 mm.",1
"Charcoal drawing, 495 x 315 mm.",1
"Charcoal drawing, 570 x 430 mm, on sheet 620 x 470 mm.",1
"Charcoal drawing, oval, on sheet 540 x 395 mm.",1
Charcoal on Paper,1
Charcoal on buff card  425 x 287 mm,1
"Charcoal on grey wove paper, 470 x 340 mm (irregular & previously folded in four)",1
Charcoal on paper  390 x 312 mm,1
"Charcoal on paper on board, 450 x 757 mm.",1
"Charcoal on paper, 485 x 635 mm",1
"Charcoal on paper, 615 x 485 mm",1
"Charcoal on paper, 625 x 480 mm",1
"Charcoal on sheet, 270 x 190 mm (approx).",1
Charcoal on thin card,1
Charcoal sketch  178 x 254 mm,1
Charcoal sketch  240 x 405 mm,1
"Charcoal sketch, 375 x 260 mm",1
"Charcoal sketch, 420 x 585 mm on sheet 480 x 635 mm",1
"Charcoal sketch, 428 x 581 mm",1
"Charcoal sketch, 442 x 593 mm",1
"Charcoal sketch, 470 x 515 mm on sheet 500 x 650 mm",1
"Charcoal sketch, on sheet 470 x 350 mm",1
"Charcoal, coloured pencil and glitter on paper",1
"Charcoal, image 120 x 165 mm, on sheet 218 x 280 mm.",1
"Charcoal, washed, 240 x 220 mm",1
Chart,1
"Chart in black ink 135mm x 167mm, on page 200mm x 320mm",1
Charts (graphic documents),1
Checksums,1
Chenille,1
Cheque book butts,1
Chert,1
Chert/Rock,1
Chiffon with Jet Beading,1
"Chiffon,Lace,Satin",1
China Clay,1
China plate,1
"China, Composite",1
"China, glaze, ink",1
"China, hand-painted. 55 x 45 x 35 mm",1
"China, ink, glaze",1
"China, metal",1
"China, white with floral pattern.",1
China/ pottery,1
"China/Ceramic, 1 - teapot Shell, 2 - shells",1
"Chinese ink, watercolour, gouache, synthetic flocking on canvas",1
Chocolate bar in waxed paper wrapper,1
Chomolithograph  145 x 104 mm on album page ca 137 x 180 mm,1
Chomolithograph  72 x 104 mm on album page ca 137 x 180 mm,1
"Chomolithograph, 106 x 72 mm on album page ca 137 x 180 mm",1
"Chomolithograph, 130 x 170 mm on album page ca 137 x 180 mm",1
Christmas card,1
Christmas seals,1
"Chromo-lithograph, 19.5 x 26 in",1
"Chromolightograph, 630 x 332 mm.",1
Chromolithograph  104 x 72 mm on album page ca 137 x 180 mm,1
Chromolithograph  120 x 180 mm on sheet  130 x 200 mm,1
Chromolithograph  127 x 87 mm,1
Chromolithograph  167 x 370 mm,1
Chromolithograph  167 x 374 mm,1
Chromolithograph  167 x 384 mm,1
Chromolithograph  167 x 388 mm,1
Chromolithograph  168 x 369 mm,1
Chromolithograph  168 x 373 mm.,1
Chromolithograph  246 x 345 mm,1
Chromolithograph  251 x 353 mm,1
Chromolithograph  251 x 358 mm,1
Chromolithograph  255 x 355 mm,1
Chromolithograph  258 x 357 mm,1
Chromolithograph  284 x 284 mm,1
Chromolithograph  301 x 452 mm (image)  407 x 585 mm (sheet),1
Chromolithograph  305 x 379 mm on sheet 430 x 530 mm,1
"Chromolithograph  342 x 233, partially covered with glued on mat  430 x 310 mm",1
"Chromolithograph  358 x 538 mm, on sheet 465 x 620 mm",1
Chromolithograph  366 x 271 mm,1
Chromolithograph  366 x 288 mm,1
Chromolithograph  384 x 533 mm,1
Chromolithograph  386 x 762 mm,1
Chromolithograph  393 x 280 mm,1
Chromolithograph  393 x 287 mm,1
Chromolithograph  395 x 242 mm,1
Chromolithograph  396 x 286 mm,1
Chromolithograph  397 x 249 mm,1
Chromolithograph  399 X 274 mm,1
Chromolithograph  399 x 276 mm,1
Chromolithograph  400 x 280 mm,1
Chromolithograph  411 x 556 mm,1
Chromolithograph  440 x 285 mm,1
Chromolithograph  445 x 288 mm,1
Chromolithograph  448 x 288 mm,1
Chromolithograph  452 x 288 mm,1
Chromolithograph  480 x 734 mm,1
Chromolithograph  480 x 735 mm,1
Chromolithograph  540 x 815 mm,1
Chromolithograph  575 x 370 mm,1
Chromolithograph  575 x 450 mm,1
Chromolithograph  image 304 x 965 mm on sheet 376 x 996 mm,1
"Chromolithograph (coloured) and wood-engravings, printed on paper 245 x 160 mm; tipped-in sheet of tissue, printed, 232 x 153 mm",1
Chromolithograph (red and black)  442 x 287 mm,1
Chromolithograph 170 x 360 mm.,1
Chromolithograph 190 x 325 mm.,1
Chromolithograph 220 x 295 mm.,1
Chromolithograph 235 x 410 mm.,1
Chromolithograph 350 x 270 mm.,1
Chromolithograph 415 x 400 mm.,1
Chromolithograph 9.4 x 13.6 cm,1
"Chromolithograph and decoupage on card, folded to 93 x 74 mm",1
"Chromolithograph and gilt, on postcard, 88 x 139 mm.",1
"Chromolithograph and screenprint, 760 x 510 mm.",1
"Chromolithograph and screenprint, on two sheets each 1015 x 760 mm, total 1520 x 1015 mm.",1
"Chromolithograph and silkscreen print, 1005 x 640 mm.",1
"Chromolithograph decal/ transfer, 290 x 365 mm.",1
"Chromolithograph on 3 sheets, each 740 x 1015 mm, total 2220 x 1015 mm.",1
"Chromolithograph on board, 530 x 400 mm.",1
"Chromolithograph on both sides of card, 198 x 241 mm.",1
"Chromolithograph on card 145 x 113 mm, folded to 87 x 113 mm.",1
Chromolithograph on card 92 x 141 mm.,1
"Chromolithograph on card, 106 x 73 mm.",1
"Chromolithograph on card, 143 x 750 mm.",1
"Chromolithograph on card, 145 x 734 mm.",1
"Chromolithograph on card, 145 x 742 mm.",1
"Chromolithograph on card, 197 x 250 mm.",1
"Chromolithograph on card, 262 x 168 mm., with metal loop at top centre",1
"Chromolithograph on card, 300 x 250 mm.",1
"Chromolithograph on card, 310 x 250 mm.",1
"Chromolithograph on card, 315 x 250 mm.",1
"Chromolithograph on card, 88 x 139 mm.",1
"Chromolithograph on card, 91 x 140 mm.",1
"Chromolithograph on cigarette card, 37 x 70 mm.",1
"Chromolithograph on cover of booklet, 120 x 188 mm.",1
"Chromolithograph on cover, 230 x 110 mm.",1
"Chromolithograph on cover, 230 x 213 mm.",1
"Chromolithograph on folded pamphlet, 610 x 470 mm.",1
"Chromolithograph on four sheets, each 1015 x 760 mm; total with overlaps 2015 x 1510 mm.",1
"Chromolithograph on heavy card, 255 x 455 mm.",1
"Chromolithograph on heavy card, 306 x 231 mm.",1
"Chromolithograph on heavy card, 325 x 266 mm, with foldout stand on verso.",1
"Chromolithograph on label, 105 x 300 mm (sight)",1
"Chromolithograph on light card, 180 x 232 mm, with string attached through two holes punched on top edge.",1
"Chromolithograph on light card, 215 x 278 mm.",1
"Chromolithograph on menu card, 230 x 154 mm.",1
Chromolithograph on postcard 142 x 98 mm.,1
"Chromolithograph on postcard, 137 x 87 mm.",1
"Chromolithograph on postcard, 137 x 89 mm.",1
"Chromolithograph on postcard, 139 x 89 mm.",1
"Chromolithograph on postcard, 140 x 90 mm.",1
"Chromolithograph on postcard, 144 x 105 mm",1
"Chromolithograph on postcard, 88 x 142 mm, with attached metal bird shape 32 x 30 mm. (irreg)",1
"Chromolithograph on postcard, 89 x 137 mm.",1
"Chromolithograph on postcard, 90 x 139 mm.",1
"Chromolithograph on postcard, 90 x 140 mm.",1
"Chromolithograph on postcard, 90 x 142 mm.",1
"Chromolithograph on postcard, 94 x 139 mm.",1
Chromolithograph on poster 1000 x 654 mm.,1
Chromolithograph on poster 1000 x 660 mm.,1
"Chromolithograph on poster, 540 x 408 mm.",1
"Chromolithograph on poster, 765 x 507 mm.",1
"Chromolithograph on programme cover, 211 x 142 mm.",1
"Chromolithograph on shaped display card, 245 x 300 mm.",1
"Chromolithograph on sheet , 875 x 565 mm.",1
"Chromolithograph on sheet 590 x 450 mm, with metal strips top and bottom.",1
Chromolithograph on sheet 990 x 635 mm.,1
"Chromolithograph on single sheet 585 x 340 mm, with wooden strips at top and bottom.",1
"Chromolithograph on thick card, 330 x 483 mm.",1
"Chromolithograph on thick display card with folding stand, 325 x 340 mm.",1
"Chromolithograph proof print, on sheet approximately 260 x 260 mm.",1
"Chromolithograph with glitter, on card 78 x 99 mm (irregular)",1
"Chromolithograph with glitter, on card folded with double flaps, to 83 x 112 mm.",1
"Chromolithograph with gold, on card 279 x 210 mm.",1
Chromolithograph with holograph  555 x 755 mm,1
Chromolithograph with letterpress  204 x 424 mm,1
"Chromolithograph,  350 x 500 mm",1
"Chromolithograph,  355 x 255 mm",1
"Chromolithograph,  371 x 587 mm",1
"Chromolithograph, 1010 x 585 mm.",1
"Chromolithograph, 1010 x 630 mm.",1
"Chromolithograph, 1010 x 640 mm, mounted on linen, 1099 x 727 mm.",1
"Chromolithograph, 1010 x 755 mm.",1
"Chromolithograph, 1015 x 632 mm.",1
"Chromolithograph, 1015 x 642 mm.",1
"Chromolithograph, 1020 x 1275 mm.",1
"Chromolithograph, 1020 x 635 mm.",1
"Chromolithograph, 1020 x 762 mm.",1
"Chromolithograph, 104 x 69 mm",1
"Chromolithograph, 104 x 72 mm on album page ca 137 x 180 mm",1
"Chromolithograph, 106 x 72 mm",1
"Chromolithograph, 117 x 350 mm (slightly curved).",1
"Chromolithograph, 120 x 322 mm.",1
"Chromolithograph, 13.7 x 20.7 ins",1
"Chromolithograph, 130 x 180 mm (sight)",1
"Chromolithograph, 130 x 322 mm.",1
"Chromolithograph, 137 x 90 mm.",1
"Chromolithograph, 138 x 87 mm",1
"Chromolithograph, 141 x 89 mm.",1
"Chromolithograph, 145 x 263 mm, folded to 145 x 102 mm",1
"Chromolithograph, 164 x 372 mm.",1
"Chromolithograph, 165 x 470 mm",1
"Chromolithograph, 178 x 510 mm.",1
"Chromolithograph, 195 x 145 mm.",1
"Chromolithograph, 200 x 131 mm",1
"Chromolithograph, 200 x 257 mm on sheet 245 x 303 mm",1
"Chromolithograph, 200 x 286 mm.",1
"Chromolithograph, 202 x 271 mm.",1
"Chromolithograph, 205 x 136 mm, on sheet 252 x 164 mm.",1
"Chromolithograph, 205 x 330 mm.",1
"Chromolithograph, 210 x 308 mm.",1
"Chromolithograph, 210 x 330 mm.",1
"Chromolithograph, 213 x 685 mm.",1
"Chromolithograph, 215 x 320 mm.",1
"Chromolithograph, 217 x 270 mm.",1
"Chromolithograph, 217 x 420 mm.",1
"Chromolithograph, 220 x 265 mm.",1
"Chromolithograph, 220 x 300 mm",1
"Chromolithograph, 222 x 298 mm.",1
"Chromolithograph, 230 x 293 mm.",1
"Chromolithograph, 232 x 200 mm.",1
"Chromolithograph, 242 x 608 mm.",1
"Chromolithograph, 248 x 504 mm on sheet 359 x 570 mm",1
"Chromolithograph, 250 x 354 mm",1
"Chromolithograph, 251 x 351 mm.",1
"Chromolithograph, 252 x 353 mm",1
"Chromolithograph, 252 x 355 mm",1
"Chromolithograph, 252 x 357 mm.",1
"Chromolithograph, 253 x 224 mm.",1
"Chromolithograph, 254 x 355 mm",1
"Chromolithograph, 255 x 228 mm.",1
"Chromolithograph, 255 x 358 mm, mounted on text sheet, 309 x 412 mm.",1
"Chromolithograph, 260 x 402 mm.",1
"Chromolithograph, 260 x 660 mm",1
"Chromolithograph, 261 x 203 mm.",1
"Chromolithograph, 267 x 474 mm.",1
"Chromolithograph, 270 x 205 mm",1
"Chromolithograph, 270 x 394 mm.",1
"Chromolithograph, 273 x 204 mm.",1
"Chromolithograph, 273 x 214 mm.",1
"Chromolithograph, 277 x 229 mm",1
"Chromolithograph, 278 x 224 mm",1
"Chromolithograph, 279 x 430 mm. Verso has dark blue paper stuck around the borders and muslin squares attached to the four corners.",1
"Chromolithograph, 280 x 222 mm",1
"Chromolithograph, 280 x 395 mm.",1
"Chromolithograph, 289 x 240 mm",1
"Chromolithograph, 294 x 379 mm",1
"Chromolithograph, 300 x 275 mm.",1
"Chromolithograph, 301 x 372 mm",1
"Chromolithograph, 304 x 304 mm.",1
"Chromolithograph, 305 x 379 mm",1
"Chromolithograph, 305 x 384 mm",1
"Chromolithograph, 305 x 395 mm.",1
"Chromolithograph, 306 x 382 mm",1
"Chromolithograph, 307 x 381 mm",1
"Chromolithograph, 307 x 384 mm",1
"Chromolithograph, 307 x 385 mm",1
"Chromolithograph, 308 x 384 mm",1
"Chromolithograph, 310 x 455 mm",1
"Chromolithograph, 320 x 510 mm.",1
"Chromolithograph, 330 x 185 mm (image), on sheet 390 x 270 mm",1
"Chromolithograph, 330 x 233 mm.",1
"Chromolithograph, 337 x 232 mm.",1
"Chromolithograph, 340 x 490 mm.",1
"Chromolithograph, 342 x 254 mm",1
"Chromolithograph, 344 x 247 mm",1
"Chromolithograph, 352 x 248 mm (image)",1
"Chromolithograph, 357 x 225 mm",1
"Chromolithograph, 360 x 232 mm.",1
"Chromolithograph, 360 x 940 on sheet 455 x 1015 mm",1
"Chromolithograph, 378 x 506 mm.",1
"Chromolithograph, 379 x 307 mm",1
"Chromolithograph, 382 x 297 mm",1
"Chromolithograph, 383 x 304 mm",1
"Chromolithograph, 383 x 306 mm",1
"Chromolithograph, 390 x 260 mm.",1
"Chromolithograph, 396 x 252 mm",1
"Chromolithograph, 430 x 279 mm. Verso has dark blue paper stuck around the borders and muslin squares attached to the four corners.",1
"Chromolithograph, 438 x 284 mm",1
"Chromolithograph, 448 x 628 mm",1
"Chromolithograph, 450 x 594 mm",1
"Chromolithograph, 456 x 330 mm.",1
"Chromolithograph, 470 x 647 mm",1
"Chromolithograph, 475 x 600 mm on sheet 635 x 760 mm.",1
"Chromolithograph, 480 x 735 mm",1
"Chromolithograph, 505 x 380 mm.",1
"Chromolithograph, 510 x 383 mm, mounted on linen backing 551 x 424 mm.",1
"Chromolithograph, 510 x 735 mm",1
"Chromolithograph, 515 x 425 mm.",1
"Chromolithograph, 523 x 685 mm.",1
"Chromolithograph, 535 x 400 mm.",1
"Chromolithograph, 545 x 760 mm.",1
"Chromolithograph, 550 x 755 mm.",1
"Chromolithograph, 556 x 811 mm",1
"Chromolithograph, 568 x 444 mm.",1
"Chromolithograph, 577 x 385 mm.",1
"Chromolithograph, 601 x 831 mm",1
"Chromolithograph, 623 x 422 mm",1
"Chromolithograph, 625 x 435 mm.",1
"Chromolithograph, 639 x 7012 mm",1
"Chromolithograph, 640 x 1015 mm.",1
"Chromolithograph, 674 x 910 mm (image) on sheet 766 x 1019 mm",1
"Chromolithograph, 70 x 38 mm",1
"Chromolithograph, 71 x 103 mm",1
"Chromolithograph, 71 x 107 mm",1
"Chromolithograph, 716 x 545 mm",1
"Chromolithograph, 755 x 481 mm.",1
"Chromolithograph, 755 x 490 mm.",1
"Chromolithograph, 762 x 1018 mm.",1
"Chromolithograph, 763 x 510 mm.",1
"Chromolithograph, 765 x 507 mm.",1
"Chromolithograph, 805 x 610 mm",1
"Chromolithograph, 875 x 565 mm.",1
"Chromolithograph, 88 x 139 mm.",1
"Chromolithograph, 880 x 570 mm.",1
"Chromolithograph, 880 x 578 mm.",1
"Chromolithograph, 885 x 565 mm.",1
"Chromolithograph, 890 x 570 mm.",1
"Chromolithograph, 91 x 138 mm.",1
"Chromolithograph, 978 x 755 mm",1
"Chromolithograph, 995 x 618 mm.",1
"Chromolithograph, ca 140 x 118 mm",1
"Chromolithograph, coloured  298 x 484 mm on sheet 392 x 554 mm",1
"Chromolithograph, coloured, 375 x 245 mm.",1
"Chromolithograph, image 255 x 356 mm, mounted on text sheet 390 x 509 mm.",1
"Chromolithograph, image 282 x 154 on sheet 341 x 221 mm",1
"Chromolithograph, image 282 x 185 mm on sheet 341 x 231 mm",1
"Chromolithograph, image 298 x 385 mm, mounted on text sheet 435 x 535 mm",1
"Chromolithograph, irregular, with linking tissue, total size 108 x 90 mm.",1
"Chromolithograph, label for tin, 107 x 345 mm.",1
"Chromolithograph, label for tin, 132 x 201 mm.",1
"Chromolithograph, mounted on card, 225 x 303 mm.",1
"Chromolithograph, on card 130 x 95 mm. (irregular)",1
"Chromolithograph, on card 150 x 228 mm.",1
"Chromolithograph, on card 192 x 123 mm.",1
"Chromolithograph, on card 36 x 69 mm.",1
"Chromolithograph, on card 78 x 151 mm (irregular)",1
"Chromolithograph, on card 80 x 122 mm.",1
"Chromolithograph, on card 95 x 120 mm.",1
"Chromolithograph, on card folded with double flaps, to 100 x 123 mm. (irregular)",1
"Chromolithograph, on card folded with double flaps, to 95 x 117 mm. (irregular)",1
"Chromolithograph, on card folded with double flaps, to 96 x 142 mm. (",1
"Chromolithograph, on card, 92 x 138 mm.",1
"Chromolithograph, on cover, 212 x 135 mm.",1
"Chromolithograph, on envelope 128 x 192 mm.",1
