content_partner,primary_collection,items_total,usage,count,usage_total
"Buller, Grey and Westland District Libraries",Kete West Coast,3740,Share,2992,3740
"Buller, Grey and Westland District Libraries",Kete West Coast,3740,All rights reserved,748,3740
"Buller, Grey and Westland District Libraries",Kete West Coast,3740,Use commercially,452,3740
CORE Education,EDtalks,778,Share,778,778
Canterbury Museum,Canterbury Museum,68842,Unknown,52373,68842
Canterbury Museum,Canterbury Museum,68842,Modify,15766,68842
Canterbury Museum,Canterbury Museum,68842,Share,15766,68842
Canterbury Museum,Canterbury Museum,68842,Use commercially,15766,68842
Canterbury Museum,Canterbury Museum,68842,All rights reserved,703,68842
Central Otago Memory Bank,Central Otago Memory Bank,1116,All rights reserved,1116,1116
Centre for Housing Research Aotearoa New Zealand,Shared Repository,123,All rights reserved,123,123
Christchurch City Libraries,Christchurch City Libraries Flickr,36335,Share,32555,36335
Christchurch City Libraries,Christchurch City Libraries Flickr,36335,Modify,18847,36335
Christchurch City Libraries,Christchurch City Libraries Flickr,36335,All rights reserved,3780,36335
Christchurch City Libraries,Christchurch City Libraries Heritage Images Collection,7756,All rights reserved,7755,7755
Christchurch City Libraries,Matapihi,1611,All rights reserved,1611,1611
Christchurch uncovered,Christchurch uncovered,212,All rights reserved,212,212
Department of Building and Housing,Shared Repository,6,All rights reserved,5,6
Department of Building and Housing,Shared Repository,6,Modify,1,6
Department of Building and Housing,Shared Repository,6,Share,1,6
Department of Building and Housing,Shared Repository,6,Use commercially,1,6
Department of Conservation Te Papa Atawhai,Department of Conservation Te Papa Atawhai YouTube,806,Modify,444,806
Department of Conservation Te Papa Atawhai,Department of Conservation Te Papa Atawhai YouTube,806,Share,444,806
Department of Conservation Te Papa Atawhai,Department of Conservation Te Papa Atawhai YouTube,806,Use commercially,444,806
Department of Conservation Te Papa Atawhai,Department of Conservation Te Papa Atawhai YouTube,806,All rights reserved,362,806
Department of Internal Affairs,New Zealand Gazette,218771,Modify,218771,218771
Department of Internal Affairs,New Zealand Gazette,218771,Share,218771,218771
Department of Internal Affairs,New Zealand Gazette,218771,Use commercially,218771,218771
Deutsche Digitale Bibliothek,Deutsche Digitale Bibliothek,748,Share,492,748
Deutsche Digitale Bibliothek,Deutsche Digitale Bibliothek,748,Modify,450,748
Deutsche Digitale Bibliothek,Deutsche Digitale Bibliothek,748,Use commercially,436,748
Deutsche Digitale Bibliothek,Deutsche Digitale Bibliothek,748,All rights reserved,256,748
Digital Public Library of America,Digital Public Library of America,19922,All rights reserved,15554,19922
Digital Public Library of America,Digital Public Library of America,19922,Share,4368,19922
Digital Public Library of America,Digital Public Library of America,19922,Modify,4329,19922
Digital Public Library of America,Digital Public Library of America,19922,Use commercially,3941,19922
DigitalNZ,DigitalNZ Blog,207,Share,207,207
DigitalNZ,DigitalNZ Stories,6429,Unknown,6429,6429
DigitalNZ,DigitalNZ Website,53,Modify,53,53
DigitalNZ,DigitalNZ Website,53,Share,53,53
DigitalNZ,DigitalNZ Website,53,Use commercially,53,53
DigitalNZ,Make it Digital,23,Modify,23,23
DigitalNZ,Make it Digital,23,Share,23,23
DigitalNZ,Make it Digital,23,Use commercially,23,23
Directory of Open Access Journals,Directory of Open Access Journals,4104,Share,4021,4104
Directory of Open Access Journals,Directory of Open Access Journals,4104,Modify,3578,4104
Directory of Open Access Journals,Directory of Open Access Journals,4104,Use commercially,2942,4104
Directory of Open Access Journals,Directory of Open Access Journals,4104,All rights reserved,83,4104
Down to the Wire,Down to the Wire,22,Modify,22,22
Down to the Wire,Down to the Wire,22,Share,22,22
Down to the Wire,Down to the Wire YouTube,63,Modify,63,63
Down to the Wire,Down to the Wire YouTube,63,Share,63,63
Dunedin City Council Archives,Dunedin City Council Archives Flickr,1758,Modify,1758,1758
Dunedin City Council Archives,Dunedin City Council Archives Flickr,1758,Share,1758,1758
Dunedin City Council Archives,Dunedin City Council Archives Flickr,1758,Use commercially,1742,1758
Dunedin Public Art Gallery,Dunedin Public Art Gallery,5367,All rights reserved,5367,5367
Dunedin Public Libraries,He Purapura Marara Scattered Seeds,2001,Share,1901,2001
Dunedin Public Libraries,He Purapura Marara Scattered Seeds,2001,Modify,209,2001
Dunedin Public Libraries,He Purapura Marara Scattered Seeds,2001,Use commercially,198,2001
Dunedin Public Libraries,He Purapura Marara Scattered Seeds,2001,All rights reserved,100,2001
E-Tangata,E-Tangata,865,All rights reserved,865,865
